GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1835311723	2023-10-24 23:03:43.269139	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Khavda-Dhordo, Kachchh, Gujarat, IN (23.78, 69.667)	L27243586	P	23.7799637	69.6672420	2023-09-25	10:16:00	obsr1996915	S150723742	Traveling	P22	EBIRD_IND	40	2.220		2	1	G10891295	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1837223481	2023-09-28 04:20:03.660401	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr1173703	S150912172	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0		Seen while standing within the campus of Dholavira heritage resort		
URN:CornellLabOfOrnithology:EBIRD:OBS1836069666	2023-09-28 04:20:03.660401	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr226203	S150803069	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833389052	2023-12-11 08:49:31.952655	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Mandvi, Kachchh IN-GJ 23.04252, 69.34228	L27208251	P	23.0425190	69.3422760	2023-09-23	07:02:00	obsr686540	S150531388	Traveling	P22	EBIRD	262	29.109		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890180368	2023-12-04 12:59:29.897111	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T14G4	L27209245	P	23.0415494	69.3437180	2023-09-23	07:05:00	obsr4399854	S155739401	Traveling	P22	EBIRD_IND	58	1.000		3	1	G10878491	0	1	0		Team 14 Grid 4		
URN:CornellLabOfOrnithology:EBIRD:OBS1834661149	2023-10-20 12:51:49.81355	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 41, Kachchh IN-GJ 23.64108, 68.54357	L27207048	P	23.6410760	68.5435730	2023-09-23	07:27:00	obsr1777443	S150661621	Traveling	P22	EBIRD	25	1.976		1	1	G10886581	0	1	0			Shikra / sparrowhawk	
URN:CornellLabOfOrnithology:EBIRD:OBS1839549559	2023-10-01 05:28:05.927328	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr826272	S151145558	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833445596	2023-10-19 04:11:19.327592	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T14G4	L27209245	P	23.0415494	69.3437180	2023-09-23	07:05:00	obsr1173703	S150535956	Traveling	P22	EBIRD_IND	58	1.000		3	1	G10878491	0	1	0		Team 14 Grid 4		
URN:CornellLabOfOrnithology:EBIRD:OBS1834827918	2023-10-20 10:55:29.680708	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 41, Kachchh IN-GJ 23.64108, 68.54357	L27207048	P	23.6410760	68.5435730	2023-09-23	07:27:00	obsr1760253	S150678128	Traveling	P22	EBIRD	25	1.976		1	1	G10886581	0	1	0			Shikra / sparrowhawk	
URN:CornellLabOfOrnithology:EBIRD:OBS1837539684	2023-09-28 14:18:30.297984	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 927C, Kachchh IN-GJ 23.84779, 70.22367	L27260674	P	23.8477930	70.2236710	2023-09-26	14:15:00	obsr645135	S150944738	Incidental	P20	EBIRD_IND				5	0	G10902571	0	1	0		Seen while standing within the campus of Dholavira heritage resort		
URN:CornellLabOfOrnithology:EBIRD:OBS1833802389	2023-10-19 06:28:15.313801	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T14G4	L27209245	P	23.0415494	69.3437180	2023-09-23	07:05:00	obsr2816832	S150575898	Traveling	P22	EBIRD_IND	58	1.000		3	1	G10878491	0	1	0		Team 14 Grid 4		
URN:CornellLabOfOrnithology:EBIRD:OBS1835126684	2023-10-24 23:03:43.269139	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Khavda-Dhordo, Kachchh, Gujarat, IN (23.78, 69.667)	L27243586	P	23.7799637	69.6672420	2023-09-25	10:16:00	obsr2816832	S150706563	Traveling	P22	EBIRD_IND	40	2.220		2	1	G10891295	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833320892	2023-10-20 15:31:34.287524	8157	spuh	avibase-CA08045E	Accipiter sp.	Accipiter sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					NH 41, Kachchh IN-GJ 23.64108, 68.54357	L27207048	P	23.6410760	68.5435730	2023-09-23	07:27:00	obsr2883596	S150525824	Traveling	P22	EBIRD	25	1.976		1	1	G10886581	0	1	0			Shikra / sparrowhawk	
URN:CornellLabOfOrnithology:EBIRD:OBS1890180522	2023-12-04 12:59:30.291356	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G7	L27215644	P	23.3686088	68.7179429	2023-09-23	08:23:00	obsr4399854	S155739406	Traveling	P22	EBIRD_IND	47	1.000		3	1	G10884445	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834333501	2023-10-18 03:19:35.899154	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G6	L27227455	P	23.3132056	68.8689953	2023-09-24	11:26:00	obsr640387	S150624334	Traveling	P22	EBIRD_IND	54	1.010		3	1	G10884433	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834301275	2023-10-18 03:19:35.899154	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G6	L27227455	P	23.3132056	68.8689953	2023-09-24	11:26:00	obsr701947	S150622781	Traveling	P22	EBIRD_IND	54	1.010		3	1	G10884433	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833730433	2023-09-24 06:58:17.974163	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Mitti Dam	L5069775	H	23.3155897	68.8623466	2023-09-23	11:21:00	obsr701947	S150568721	Traveling	P22	EBIRD_IND	39	1.550		3	1	G10884436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833704798	2023-10-09 02:55:46.359025	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G7	L27215644	P	23.3686088	68.7179429	2023-09-23	08:23:00	obsr701947	S150566356	Traveling	P22	EBIRD_IND	47	1.000		3	1	G10884445	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834635630	2023-10-09 03:19:40.16279	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Jakhau - Nalia Road, Kachchh, Gujarat, IN	L27227410	P	23.2267147	68.7410732	2023-09-24	07:59:00	obsr4425231	S150659202	Traveling	P22	EBIRD_IND	8	0.230		3	1	G10884435	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834334757	2023-10-09 03:19:40.16279	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Jakhau - Nalia Road, Kachchh, Gujarat, IN	L27227410	P	23.2267147	68.7410732	2023-09-24	07:59:00	obsr640387	S150624336	Traveling	P22	EBIRD_IND	8	0.230		3	1	G10884435	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834635649	2023-09-24 12:56:21.65998	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Mitti Dam	L5069775	H	23.3155897	68.8623466	2023-09-23	11:21:00	obsr4425231	S150659203	Traveling	P22	EBIRD_IND	39	1.550		3	1	G10884436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834635766	2023-10-09 02:55:46.359025	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G7	L27215644	P	23.3686088	68.7179429	2023-09-23	08:23:00	obsr4425231	S150659213	Traveling	P22	EBIRD_IND	47	1.000		3	1	G10884445	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834334876	2023-10-09 02:55:46.359025	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G7	L27215644	P	23.3686088	68.7179429	2023-09-23	08:23:00	obsr640387	S150624346	Traveling	P22	EBIRD_IND	47	1.000		3	1	G10884445	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834312993	2023-10-09 03:19:40.16279	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Jakhau - Nalia Road, Kachchh, Gujarat, IN	L27227410	P	23.2267147	68.7410732	2023-09-24	07:59:00	obsr701947	S150622597	Traveling	P22	EBIRD_IND	8	0.230		3	1	G10884435	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834334776	2023-09-24 06:58:17.974163	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Mitti Dam	L5069775	H	23.3155897	68.8623466	2023-09-23	11:21:00	obsr640387	S150624337	Traveling	P22	EBIRD_IND	39	1.550		3	1	G10884436	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890178831	2023-12-04 12:59:26.586073	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G6	L27227455	P	23.3132056	68.8689953	2023-09-24	11:26:00	obsr4399854	S155739339	Traveling	P22	EBIRD_IND	54	1.010		3	1	G10884433	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834635276	2023-10-18 03:19:35.899154	23358	spuh	avibase-52440FBD	Acrocephalus sp.	Acrocephalus sp.				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T6G6	L27227455	P	23.3132056	68.8689953	2023-09-24	11:26:00	obsr4425231	S150659200	Traveling	P22	EBIRD_IND	54	1.010		3	1	G10884433	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1835387472	2023-10-19 00:00:41.145811	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Ganeshpar, Gujarat, IN (23.844, 70.378)	L27248100	P	23.8440133	70.3780733	2023-09-23	12:12:00	obsr604291	S150733667	Traveling	P22	EBIRD	100	1.840		3	1	G10892126	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834325818	2023-10-19 01:32:39.886235	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T17G1	L27227826	P	23.4379150	69.5800970	2023-09-24	12:47:00	obsr1522701	S150624025	Traveling	P22	EBIRD_IND	63	2.076		2	1	G10910218	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1827138992	2023-12-11 08:49:28.595027	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				7					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Banni Grasslands	L27090262	P	23.4555699	69.8807968	2023-09-15	06:45:00	obsr359982	S149909288	Traveling	P22	EBIRD	207	14.610		1	1	G10841499	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834168937	2023-09-23 22:57:34.679027	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Varnu Dada Temple	L27209107	P	23.4668070	71.0409558	2023-09-23	13:45:00	obsr775357	S150611010	Stationary	P21	EBIRD	20			3	1	G10883412	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890182043	2023-12-04 12:59:33.017426	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T27G6	L27207245	P	23.6285809	70.9697944	2023-09-23	07:09:00	obsr4399854	S155739469	Traveling	P22	EBIRD	64	0.800		4	0	G10883419	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1821615848	2023-12-11 08:49:45.403192	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Chhari Dhandh Conservation Reserve	L3135946	H	23.5822381	69.3151474	2023-09-08	15:43:00	obsr1449119	S149252732	Traveling	P22	EBIRD	180	20.000		10	1	G10811543	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834165042	2023-12-04 12:59:23.387799	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				4					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Pmc_2023_Team24_Grid1	L27224818	P	23.2641794	69.9160016	2023-09-24	07:25:00	obsr1206687	S150611111	Traveling	P22	EBIRD_IND	65	2.420		2	1	G11248115	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834261687	2023-09-24 12:10:19.579178	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Khavda-Jamkundaliya Road, Dhoravar, Gujarat, IN (23.832, 69.829)	L27226341	P	23.8319139	69.8285670	2023-09-23	11:47:00	obsr391659	S150617971	Traveling	P22	EBIRD_IND	8	7.880		2	0	G10885786	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890178743	2023-12-04 12:59:26.308893	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T28G6	L27207300	P	23.7120267	70.8497250	2023-09-23	07:09:00	obsr4399854	S155739333	Traveling	P22	EBIRD_IND	67	1.000		2	1	G11248124	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1836640492	2023-12-11 08:48:33.745671	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				8					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Kutch Fossil Park	L12726580	H	23.9391144	70.1870155	2023-09-26	06:27:00	obsr1173703	S150857069	Traveling	P22	EBIRD	149	2.732		5	1	G10899363	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834258563	2023-12-11 08:49:37.734096	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				15					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T22G6	L27226222	P	23.8152360	69.8959260	2023-09-23	16:21:00	obsr645135	S150617509	Traveling	P22	EBIRD	45	0.999		3	1	G10884024	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833393449	2023-10-18 23:46:21.975113	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				4					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T15G3	L27208179	P	23.0798267	69.5337494	2023-09-23	10:53:00	obsr1030717	S150531523	Traveling	P22	EBIRD_IND	32	1.010		3	1	G10878244	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1838868664	2023-09-30 11:12:08.424523	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				6					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T18G2	L27228494	P	23.2363312	69.8810527	2023-09-24	07:20:00	obsr1521950	S151079730	Traveling	P22	EBIRD	57	1.010		5	1	G10885643	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1903916296	2023-12-23 08:16:37.579686	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T16G6	L27226780	P	23.4538060	69.4706970	2023-09-24	07:43:00	obsr1419186	S156914852	Traveling	P22	EBIRD_IND	57	1.024		1	1	G10884097	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890177775	2023-12-04 12:59:30.869383	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				6					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T25G4	L27212939	P	23.8377057	70.3750840	2023-09-23	15:45:00	obsr4399854	S155739420	Traveling	P22	EBIRD	40	0.970		3	1	G10879453	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834333761	2023-12-11 08:49:38.934853	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Berdo, Gujarat, IN (23.371, 70.062)	L27228024	P	23.3707649	70.0623297	2023-09-24	10:22:00	obsr1012996	S150624988	Traveling	P22	EBIRD	35	2.600		2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1830894374	2023-11-07 10:14:02.526341	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Banni Grassland	L1157512	H	23.5871151	69.2488003	2023-09-15	16:00:00	obsr340772	S150282857	Traveling	P22	EBIRD_IND	120	5.000		4	1	G11103930	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1826512723	2023-10-20 14:07:53.890812	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				7					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Lodai	L27077179	P	23.3307227	69.7906451	2023-09-14	09:21:00	obsr2155036	S149846344	Traveling	P22	EBIRD	31	2.110		2	1	G10837889	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1825730762	2023-12-11 23:25:06.120437	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Naliya Outskirts	L5055638	P	23.1580545	68.8235950	2023-09-09	07:30:00	obsr552132	S149759579	Traveling	P22	EBIRD	210	10.000		6	1	G10833828	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833419382	2023-10-20 10:37:26.662	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				5					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T9G5	L27208746	P	23.1642959	68.9085295	2023-09-23	10:08:00	obsr2121818	S150533550	Traveling	P22	EBIRD_IND	36	1.000		3	1	G10878365	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1835950939	2023-09-26 08:13:20.114413	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				10					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Epicenter Homestay, Lodai, Gujarat	L8402271	H	23.3878323	69.9032915	2023-09-19	12:31:00	obsr360080	S150789738	Traveling	P22	EBIRD	15	0.740		4	1	G10870089	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1839744660	2023-10-20 15:18:49.951252	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				8					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Roji Mata Mandir Scrub Forest	L27170724	P	23.3318950	69.7852200	2023-09-20	16:38:00	obsr360080	S150789734	Traveling	P22	EBIRD	124	3.000		4	1	G10870085	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1826494285	2023-10-19 18:44:28.892601	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				8					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Hobay-Lodai Road	L21234089	H	23.3678042	69.8910809	2023-09-14	10:15:00	obsr359982	S149844879	Traveling	P22	EBIRD	30	6.340		1	1	G10837890	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1832580501	2023-10-19 03:02:09.642019	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				5	FY	C4	FY		India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Fot Mahadev Scrub Forest	L3547732	H	23.2443165	69.2014706	2023-09-22	06:32:00	obsr2305307	S150450655	Traveling	P22	EBIRD	69	0.257		4	1	G10873828	0	1	0			2+3 Chicks	
URN:CornellLabOfOrnithology:EBIRD:OBS1835253263	2023-10-30 18:31:05.939733	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T1G5	L27245712	P	23.6919436	69.0163440	2023-09-24	07:07:00	obsr139044	S150716572	Traveling	P22	EBIRD	67	1.300		2	1	G10890904	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833677008	2023-09-23 11:36:50.408972	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				7					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC_23 T32G3	L27208060	P	23.4259116	70.4561331	2023-09-23	10:43:00	obsr759009	S150563068	Traveling	P22	EBIRD	19	1.720		3	1	G10879670	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1832838606	2023-10-12 13:18:02.226114	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				6					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Fot Mahadev Scrub Forest	L3547732	H	23.2443165	69.2014706	2023-09-22	07:15:00	obsr900845	S150478197	Traveling	P22	EBIRD_IND	259	9.000		4	1	G10875810	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1832628039	2023-10-01 03:24:14.259961	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				4					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Misariyado, Gujarat, IN (23.639, 69.791)	L27180984	P	23.6386751	69.7914678	2023-09-21	09:23:00	obsr485649	S150454383	Traveling	P22	EBIRD	18	7.940		4	1	G10871910	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834324756	2023-10-20 13:42:58.124979	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T17G2	L27227856	P	23.4675020	69.5108570	2023-09-24	11:44:00	obsr1522701	S150624135	Traveling	P22	EBIRD_IND	25	1.116		2	1	G10910217	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834249270	2023-10-19 12:38:58.753265	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				8					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T22G3	L27226204	P	23.7653350	69.8318380	2023-09-23	08:53:00	obsr645135	S150617450	Traveling	P22	EBIRD	81	1.004		3	1	G10884025	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833368021	2023-10-20 22:09:35.034668	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Unnamed Road, Sanva, Gujarat, IN (23.629, 70.972) G56	L27207745	P	23.6288864	70.9720982	2023-09-23	07:36:00	obsr3226404	S150529237	Traveling	P22	EBIRD	120	0.250		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1824333585	2023-09-11 07:01:51.319787	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				5					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Epicenter Homestay	L27007877	P	23.3879410	69.9021944	2023-09-11	15:45:00	obsr1165592	S149618345	Historical	P62	EBIRD	30	3.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890180572	2023-12-04 12:59:30.403755	22023	species	avibase-73ED9A54	Ashy-crowned Sparrow-Lark	Eremopterix griseus				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					T32G6	L27207466	P	23.5363621	70.4683156	2023-09-23	08:12:00	obsr4399854	S155739408	Traveling	P22	EBIRD	70	1.790		2	1	G10879679	0	1	0				
