GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1835272813	2023-09-25 08:43:27.23501	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T1G2	L27246168	P	23.6495435	69.0736101	2023-09-24	10:07:00	obsr139044	S150719497	Traveling	P22	EBIRD	61	1.400		3	1	G10891059	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1890178651	2023-12-04 12:59:26.069976	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T28G1	L27228193	P	23.4960646	70.6415270	2023-09-23	18:12:00	obsr4399854	S155739327	Traveling	P22	EBIRD_IND	29	1.080		2	1	G11248121	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1837214832	2023-12-11 08:50:34.53555	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Banni Grasslands--Lodai	L5372104	H	23.4383142	69.9236441	2023-09-24	15:30:00	obsr2341131	S150911487	Traveling	P22	EBIRD_CAN	210	8.000		7	1	G10902551	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834216533	2023-10-19 02:20:17.2143	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				5					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Devisar village and Khandavara pir,Banni,Kutch	L9887187	H	23.4053654	69.3323552	2023-09-24	06:52:00	obsr359132	S150614189	Traveling	P22	EBIRD	210	15.305		8	1	G10883724	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833051417	2023-09-22 19:50:10.248917	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Dayapar OutCut	L27202360	P	23.6296205	68.9421020	2023-09-22	06:24:00	obsr1493800	S150499934	Traveling	P22	EBIRD	28	5.030		3	1	G10877299	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834262421	2023-10-06 10:31:04.581107	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				6					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T22G7	L27226243	P	23.8480680	69.7747490	2023-09-24	07:21:00	obsr391659	S150618352	Traveling	P22	EBIRD	63	1.001		3	1	G10884022	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1833806668	2023-09-26 08:50:44.122968	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				4					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T12G4	L27208498	P	23.2299317	69.1402258	2023-09-23	09:53:00	obsr1996915	S150576258	Traveling	P22	EBIRD	61	0.730		3	1	G10880467	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834445486	2023-09-24 09:55:37.383048	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Nakhatrana, Kachchh IN-GJ 23.41621, 69.37338	L27226843	P	23.4162080	69.3733780	2023-09-23	16:36:00	obsr1419186	S150638421	Traveling	P22	EBIRD_IND	49	1.373		3	1	G10885094	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1832580498	2023-10-19 03:02:09.642019	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					Fot Mahadev Scrub Forest	L3547732	H	23.2443165	69.2014706	2023-09-22	06:32:00	obsr2305307	S150450655	Traveling	P22	EBIRD	69	0.257		4	1	G10873828	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834363443	2023-12-11 08:49:39.27947	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				1					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC2023_T26G1	L27228465	P	23.7602597	70.6724927	2023-09-23	06:43:00	obsr1526687	S150627717	Traveling	P22	EBIRD	60	1.050		4	1	G10884652	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834260661	2023-10-19 02:06:30.928396	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				2					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC_23 T5G4	L27224960	P	23.4786460	68.9831330	2023-09-24	07:51:00	obsr1431488	S150617670	Traveling	P22	EBIRD_IND	40	1.000		2	1	G10883963	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1834260691	2023-09-25 07:25:13.15809	22171	species	avibase-A9DA95E4	Indian Bushlark	Mirafra erythroptera				3					India	IN	Gujarat	IN-GJ	Kachchh	IN-GJ-KA					PMC_23 T5G1	L27213274	P	23.4328950	68.8541210	2023-09-23	16:20:00	obsr1431488	S150617674	Traveling	P22	EBIRD_IND	35	1.000		3	1	G10880676	0	1	0				
